Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.67     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >* std::__do_uninit_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&)
  0.00      3.67     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >* std::uninitialized_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&)
  0.00      3.67     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_fill_n_a<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      3.67     0.00        1     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      3.67     0.00        1     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      3.67     0.00        1     0.00     0.00  __cxx_global_var_init

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.27% of 3.67 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     96.5    0.00    3.54                 main [1]
                0.08    3.46       1/1           kosarju(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [2]
                0.00    0.00   10000/299606268     std::vector<int, std::allocator<int> >::operator[](unsigned long) [5]
                0.00    0.00   10000/200010000     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [8]
                0.00    0.00       1/6           std::allocator<int>::allocator() [96]
                0.00    0.00       1/6           std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&) [103]
                0.00    0.00       1/1           std::allocator<std::vector<int, std::allocator<int> > >::allocator() [121]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::vector(unsigned long, std::vector<int, std::allocator<int> > const&, std::allocator<std::vector<int, std::allocator<int> > > const&) [143]
                0.00    0.00       1/10006       std::vector<int, std::allocator<int> >::~vector() [46]
                0.00    0.00       1/3           std::allocator<std::vector<int, std::allocator<int> > >::~allocator() [112]
                0.00    0.00       1/20018       std::allocator<int>::~allocator() [21]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::~vector() [144]
-----------------------------------------------
                0.08    3.46       1/1           main [1]
[2]     96.5    0.08    3.46       1         kosarju(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [2]
                2.82    0.21    9938/9938        dfsVisitT(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int) [3]
                0.08    0.21    4988/4988        dfsVisit(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int) [4]
                0.08    0.00 99491196/299606268     std::vector<int, std::allocator<int> >::operator[](unsigned long) [5]
                0.07    0.00 99429947/299449947     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const [6]
                0.00    0.00   10001/10001       std::__cxx11::list<int, std::allocator<int> >::empty() const [49]
                0.00    0.00   10000/10000       std::__cxx11::list<int, std::allocator<int> >::front() [78]
                0.00    0.00   10000/10000       std::__cxx11::list<int, std::allocator<int> >::pop_front() [81]
                0.00    0.00       5/6           std::allocator<int>::allocator() [96]
                0.00    0.00       5/6           std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&) [103]
                0.00    0.00       5/20018       std::allocator<int>::~allocator() [21]
                0.00    0.00       5/10006       std::vector<int, std::allocator<int> >::~vector() [46]
-----------------------------------------------
                                  62             dfsVisitT(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int) [3]
                2.82    0.21    9938/9938        kosarju(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [2]
[3]     82.4    2.82    0.21    9938+62      dfsVisitT(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int) [3]
                0.08    0.00 100050061/299606268     std::vector<int, std::allocator<int> >::operator[](unsigned long) [5]
                0.07    0.00 100010000/299449947     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const [6]
                0.05    0.00 100000000/200010000     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [8]
