Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.23% of 4.32 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     95.6    0.00    4.13                 main [1]
                0.13    4.00       1/1           kosarju(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [2]
                0.00    0.00   20000/200020000     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [7]
                0.00    0.00   20000/300214954     std::vector<int, std::allocator<int> >::operator[](unsigned long) [6]
                0.00    0.00       1/7           std::allocator<int>::allocator() [104]
                0.00    0.00       1/6           std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&) [110]
                0.00    0.00       1/1           std::allocator<std::vector<int, std::allocator<int> > >::allocator() [142]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::vector(unsigned long, std::vector<int, std::allocator<int> > const&, std::allocator<std::vector<int, std::allocator<int> > > const&) [175]
                0.00    0.00       1/10006       std::vector<int, std::allocator<int> >::~vector() [40]
                0.00    0.00       1/3           std::allocator<std::vector<int, std::allocator<int> > >::~allocator() [134]
                0.00    0.00       1/20019       std::allocator<int>::~allocator() [16]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::~vector() [176]
-----------------------------------------------
                0.13    4.00       1/1           main [1]
[2]     95.6    0.13    4.00       1         kosarju(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [2]
                3.00    0.35    9998/9998        dfsVisitT(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, std::vector<int, std::allocator<int> >&, int&, int) [3]
